Meat type,Heat level,# of items,Weight (lb)
Beef,Mild,6,2.9785339222004295
Pork,Mild,15,16.032367258077684
Pork,Mild,8,9.546845477912036
,Extra hot,2,1.2813751266974558
Beef,Medium,18,16.42302362823218
Turkey,Medium,15,16.635896002395036
Pork,Hot,18,17.684393908448858
Turkey,Hot,12,
Beef,Mild,8,6.323289957145432
Pork,Medium,12,11.251822942936844
Pork,Hot,12,12.710904483075439
Beef,Medium,13,9.897792030885304
Pork,Medium,13,12.578834772212103
Pork,Extra hot,17,14.45911660315144
Turkey,Mild,22,23.500683708858563
Turkey,Medium,8,6.67780169195721
Pork,Medium,8,7.103976389599829
Pork,Medium,11,13.145039722966354
Beef,Hot,6,8.701957809720529
Turkey,Hot,18,17.296294268186255
Beef,Medium,13,13.156969734703111
Beef,Mild,14,14.283601830366978
Pork,Medium,23,23.390743968585067
Pork,Medium,13,12.705012872860959
Turkey,Medium,13,12.491037497993329
Turkey,Hot,10,8.73398792520146
Pork,Mild,7,9.297105880549752
Turkey,Mild,9,7.843384438478567
Turkey,Extra hot,18,17.868643707933284
Beef,Medium,16,18.749799524417206
Beef,Extra hot,7,4.086261267722257
Pork,Medium,10,8.311896419468265
Beef,Hot,12,13.944709455777405
Turkey,Medium,16,15.168038473887727
Pork,Extra hot,7,5.907942641153972
Beef,Hot,13,12.761531074074451
Turkey,Hot,12,12.01103089027182
Turkey,Extra hot,6,6.7076480299949575
,Medium,13,11.926572374429057
Pork,Mild,10,9.696021265890638
Turkey,Mild,18,18.026751061107312
Turkey,Hot,6,5.112674290719053
Beef,Mild,12,9.22423124536023
Beef,Extra hot,15,16.337389017870663
Pork,Hot,17,15.220657653532676
Turkey,Medium,10,10.966119768558958
Turkey,Mild,15,14.166025954501631
Pork,Extra hot,15,17.28346963029523
Beef,Mild,16,16.551458210834355
Beef,Medium,9,
Turkey,Medium,23,21.154138277198584
Pork,Hot,4,1.0
Pork,Medium,9,11.341394518970814
Pork,Hot,17,18.55033779764776
Beef,Mild,15,
Turkey,Extra hot,6,6.050429836596405
Beef,Extra hot,19,18.828048526557826
Pork,Medium,11,11.363625513998066
Beef,Hot,12,13.044722747915888
Turkey,Hot,13,12.938485118060328
Pork,Medium,13,12.82493017161018
Pork,Extra hot,2,4.481728516044863
Beef,Medium,17,16.51713135910111
Pork,Extra hot,14,13.312025094432594
Pork,Medium,8,8.199473121540368
Turkey,Hot,16,14.027254899622303
Pork,Medium,8,5.395481857258988
Pork,Mild,18,14.969063153017592
Beef,Extra hot,14,15.213309913361758
Pork,Mild,4,4.288703349638598
Beef,Medium,19,19.709465893446676
Turkey,Medium,19,18.96920314305596
Pork,Extra hot,10,11.323723642360104
Pork,Hot,11,10.635097913578026
Pork,Mild,19,18.01745749564424
Beef,Medium,6,6.251119637621507
Pork,Hot,13,10.106381622718816
Turkey,Extra hot,21,20.3371343018385
Turkey,Extra hot,16,15.505777116200946
Beef,Hot,12,12.339005451619403
Turkey,Mild,8,9.009617724665842
Turkey,Hot,15,15.173579934036862
Turkey,Mild,14,15.783919933813864
Pork,Mild,14,14.25354607219812
Turkey,Medium,15,16.01172734705523
Pork,Mild,11,6.5123482479180925
Pork,Hot,13,12.675256942685653
Pork,Hot,12,14.593541242027461
Pork,Medium,16,
Turkey,Extra hot,16,16.34350784299927
Pork,Mild,11,10.201279962326813
Beef,Mild,19,20.94541020185673
,Extra hot,12,10.371602849195526
Turkey,Mild,14,13.494946629262136
Beef,Mild,16,17.557338506173462
Turkey,Medium,12,16.347190965129144
Pork,Hot,14,12.930701156442574
Pork,Mild,11,11.172999910358115
Beef,Hot,16,15.825045593189309
Beef,Hot,16,16.548760563616646
